Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Phone,MobilePhone,Fax,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CleanStatus,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,SICCode__c,ProductInterest__c,Primary__c,CurrentGenerators__c,NumberofLocations__c
00Q3j00001Od2CbEAJ,False,,Dadio Jr,Bill,Mr,Bill Dadio Jr,CFO,Zenith Industrial Partners,,,OH,,USA,,,,(614) 431-5000,,,bill_dadio@zenith.com,,/services/images/photo/00Q3j00001Od2CbEAJ,,Web,Closed - Not Converted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,7267,GC5000 series,Yes,John Deere,3.0
00Q3j00001Od2CdEAJ,False,,Eberhard,Sandra,Ms,Sandra Eberhard,"VP, Production",Highland Manufacturing Ltd.,,,CA,,USA,,,,(626) 440-0700,,,sandra_e@highland.net,,/services/images/photo/00Q3j00001Od2CdEAJ,,Purchased List,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CNEAZ,False,,Feager,Patricia,Ms,Patricia Feager,CEO,International Shipping Co.,,,NC,,USA,,,,(336) 777-1970,,,patricia_feager@is.com,,/services/images/photo/00Q3j00001Od2CNEAZ,,Partner Referral,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CeEAJ,False,,Bair,Betty,Ms,Betty Bair,"VP, Administration",American Banking Corp.,,,PA,,USA,,,,(610) 265-9100,,,bblair@abankingco.com,,/services/images/photo/00Q3j00001Od2CeEAJ,,Purchased List,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CYEAZ,False,,Monaco,David,Mr,David Monaco,CFO,Blues Entertainment Corp.,,,,,Japan,,,,(033) 452-1299,,,david@blues.com,,/services/images/photo/00Q3j00001Od2CYEAZ,,Purchased List,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CUEAZ,False,,May,Norm,Mr,Norm May,"VP, Facilities",Greenwich Media,,,OH,,USA,,,,(419) 289-3555,,,norm_may@greenwich.net,,/services/images/photo/00Q3j00001Od2CUEAZ,,Web,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CREAZ,False,,James,Tom,Mr,Tom James,"SVP, Production",Delphi Chemicals,,,MN,,USA,,,,(952) 346-3500,,,tom.james@delphi.chemicals.com,,/services/images/photo/00Q3j00001Od2CREAZ,,Web,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CcEAJ,False,,Luce,Eugena,Ms,Eugena Luce,CEO,Pacific Retail Group,,,MA,,USA,,,,(781) 270-6500,,,eluce@pacificretail.com,,/services/images/photo/00Q3j00001Od2CcEAJ,,Purchased List,Closed - Not Converted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CXEAZ,False,,Akin,Kristen,Ms,Kristen Akin,"Director, Warehouse Mgmt",Aethna Home Products,,,VA,,USA,,,,(434) 369-3100,,,kakin@athenahome.com,,/services/images/photo/00Q3j00001Od2CXEAZ,,Partner Referral,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2COEAZ,False,,Mcclure,Brenda,Ms,Brenda Mcclure,CFO,Cadinal Inc.,,,IL,,USA,,,,(847) 262-5000,,,brenda@cardinal.net,,/services/images/photo/00Q3j00001Od2COEAZ,,Web,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CJEAZ,False,,Boxer,Bertha,Ms.,Bertha Boxer,Director of Vendor Relations,Farmers Coop. of Florida,321 Westcott Building,Tallahassee,FL,32306,USA,,,,(850) 644-4200,,(850) 644-4300,bertha@fcof.net,,/services/images/photo/00Q3j00001Od2CJEAZ,,Web,Working - Contacted,Agriculture,Hot,900750000.0,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CLEAZ,False,,Glimpse,Jeff,Mr,Jeff Glimpse,"SVP, Procurement",Jackson Controls,,,,,Taiwan,,,,886-2-25474189,,,jeffg@jackson.com,,/services/images/photo/00Q3j00001Od2CLEAZ,,Phone Inquiry,Open - Not Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
